Facility PK,Name,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zip Code,Latitude,Longitude,Zip Code,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
61071299,The Music Box Caja Musical,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,40-08 74 Street,,Queens,11373,40.74633557,-73.8913445,646-364-9600,Find free safer sex products inside a dispenser located in the front near the entrance at this bar/lounge.,1.90E+13,1.90E+13,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,TRUE,FALSE,FALSE,,,404,25,26500,4030472,4013050133,QN50
61070975,Exclusive Touch Beauty Bar,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1132 Nostrand Avenue,,Brooklyn,11225,40.6599545,-73.95056001,(646) 641-4807,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,309,40,80000,3115255,3050360039,BK60
61070834,Bluestockings,Free Safer Sex Products,Condoms and Lubricant,,Business,Book Store,"172 Allen Street,n/a",,Manhattan,10002,40.7213323,-73.98927094,212-982-1633,Find free safer sex products inside a jar located on the tables and sideline shelf at this book store.,1.90E+13,1.90E+13,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,TRUE,TRUE,TRUE,,,103,1,3001,1005522,1004160053,MN27
61070801,Bailey House,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"1751 Park Avenue,3 Floor",,Manhattan,10035,40.80287243,-73.94060338,(212) 633-2500,Find free safer sex products inside a dispenser located in the back and a fishbowl on the front counter at this social service.,1.90E+13,1.90E+13,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,,,TRUE,FALSE,FALSE,,http://www.baileyhouse.org,111,9,19600,1089077,1017700072,MN34
61071074,Kike Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,91-19 37 Avenue,,Queens,11372,40.7506564,-73.87568787,212-505-9408,Find free safer sex products inside a dispenser located near th front door by the coat rack at this barbershop.,1.90E+13,1.90E+13,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 9:00 PM,TRUE,FALSE,FALSE,,,403,25,27500,4036040,4014650037,QN28
61071263,Starliner,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,1446 Myrtle Avenue,,Brooklyn,11237,40.69894652,-73.91687243,NA,Find free safer sex products inside a fishbowl located in the bar at this bar/lounge.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,TRUE,,,304,37,43300,3075688,3033080018,BK77
61071208,Pianos,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,158 Ludlow Street,,Manhattan,10002,40.72099456,-73.98787847,212-337-1696,Find free safer sex products inside a dispenser located in the back near the restroom at this bar/lounge.,1.90E+13,1.90E+13,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,TRUE,FALSE,TRUE,,,103,1,3001,1079699,1004110050,MN27
61071257,Sorry not Sorry (Formerly Pride Lounge),Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,7015 B Austin Street,,Queens,11375,40.72076337,-73.84642495,NA,Find free safer sex products inside a dispenser located in the back near the restrooms/atm at this bar/lounge.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,TRUE,,,406,29,71100,,4,QN17
61070765,2A,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,27 Avenue A,,Manhattan,10009,40.72304465,-73.98573511,212-307-1503,Find free safer sex products inside a fishbowl located on the bar at this bar/lounge.,1.90E+13,1.90E+13,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,TRUE,FALSE,TRUE,,,103,2,3002,,1,MN22
61071139,Morningside Medical Group,Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,1302 Amsterdam Avenue,,Manhattan,10027,40.81209119,-73.95721288,212-924-3558,Find free safer sex products inside a dispenser located in the waiting area at this physician.,1.90E+13,1.90E+13,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 5:00 PM,9:00 AM - 2:00 PM,9:00 AM - 12:00 PM,,,TRUE,TRUE,TRUE,,,109,7,21100,1084110,1019780001,MN09
61070820,Betances Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"280 Henry Street,N/A",,Manhattan,10002,40.71394271,-73.98353666,(212) 227-8401,Find free safer sex products inside a fishbowl located at reception at this clinical facility.,1.90E+13,1.90E+13,8:00 AM - 7:00 PM,8:00 AM - 5:00 PM,8:00 AM - 7:00 PM,10:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,TRUE,TRUE,TRUE,,www.betances.org,103,2,202,1003220,1002670010,MN28
61071103,Littlefield,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,635 Sackett Street,,Brooklyn,11217,40.6783979,-73.98350582,NA,Find free safer sex products inside a fishbowl located in the bar at this bar/lounge.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,TRUE,,,306,33,11900,3007000,3004270052,BK37
61071225,Purple Passion,Free Safer Sex Products,Condoms and Lubricant,,Business,Sex Store,211 West 20 Street,,Manhattan,10011,40.74249217,-73.99763265,212-477-7747,Find free safer sex products inside a fishbowl located in the front on left at this sex store.,1.90E+13,1.90E+13,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,1:00 PM - 7:00 PM,TRUE,TRUE,TRUE,,,104,3,8700,1078584,1007700031,MN13
61070987,"First Medical Center, Doo Park, MD",Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"40-44 82 Street,n/a",,Queens,11373,40.74645162,-73.88373296,718-429-3800,Find free safer sex products inside a drawer located in the medical office drawer at this physician.,1.90E+13,1.90E+13,4:00 PM - 7:00 PM,4:00 PM - 7:00 PM,5:00 PM - 7:00 PM,4:00 PM - 7:00 PM,4:00 PM - 7:00 PM,10:00 AM - 3:00 PM,,TRUE,TRUE,TRUE,,www.stdclinicnyc.com,404,25,26901,4036882,4014920028,QN29
61071236,Ritmos 60,Free Safer Sex Products,Condoms and Lubricant,,Business,Night Club,32-17 Steinway Street,,Queens,11103,40.75849876,-73.91936427,NA,Find free safer sex products inside a dispenser located downstairs by the restrooms at this night club.,1.90E+13,1.90E+13,7:00 PM - 4:00 AM,7:00 PM - 4:00 AM,7:00 PM - 4:00 AM,7:00 PM - 4:00 AM,7:00 PM - 4:00 AM,7:00 PM - 4:00 AM,7:00 PM - 4:00 AM,TRUE,FALSE,FALSE,,,401,26,15700,4011015,4006760040,QN70
61071130,"Mixteca Organization, Inc.",Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"245 23 Street,2nd Floor",,Brooklyn,11215,40.65993482,-73.99409618,(718) 965-4795,Find free safer sex products inside a condom dispenser located at the entrance and bathroom at this social service.,1.90E+13,1.90E+13,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 3:00 PM,,TRUE,TRUE,TRUE,,,307,38,14500,3017611,3008990001,BK32
61070813,Beauty Plus Beauty Supply Store,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1573 Broadway,,Brooklyn,11207,40.68573213,-73.91544308,(718) 443-8280,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,304,37,40100,3078465,3034010001,BK78
61071144,Mundo Latino Multiservice,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,105 Clinton Street,,Manhattan,10002,40.71830166,-73.98547639,(212) 995-9209,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,103,1,1402,1004187,1003480031,MN28
61070976,Exponents,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Community Center,"17 Battery Place,8th Floor",,Manhattan,10004,40.70487681,-74.01592729,(212) 243-3434,Find free safer sex products inside a fishbowl located in the reception area at this community center.,1.90E+13,1.90E+13,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,TRUE,TRUE,TRUE,,http://www.exponents.org,101,1,1300,1082634,1000157501,MN25
61071165,Nuevo Estilo Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,316 East 170 Street,,Bronx,10456,40.8373074,-73.91013598,212-925-8219,Find free safer sex products inside a dispenser located in the front near barber chair at this barbershop.,1.90E+13,1.90E+13,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,TRUE,FALSE,FALSE,,,204,16,17702,2007199,2027830042,BX14
61070961,El & Johns Barbershop,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,741 Riverdale Avenue,,Brooklyn,11207,40.66403058,-73.88824224,(718) 781-4281,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,305,42,112400,3327180,3040870047,BK82
61071067,Johnnys Bar,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,90 Greenwich Avenue,,Manhattan,10011,40.73773825,-74.00179704,NA,Find free safer sex products inside a fishbowl located in the front near the entrance at this bar/lounge.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,FALSE,,,102,3,7700,1011082,1006170026,MN23
61071101,Lisa's Unisex,Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,1683 Amsterdam Avenue,,Manhattan,10031,40.82408485,-73.94842865,NA,Find free safer sex products inside a fishbowl located in the front at this beauty salon.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,TRUE,,,109,7,22700,1061269,1020590001,MN04
61071005,Greene Community Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Pharmacy,Other,"702 Fulton Street,na",,Brooklyn,11217,40.68605952,-73.97384784,7188346368,Find free safer sex products inside a bowl located by the pharmacy counter at this location.,1.90E+13,1.90E+13,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 5:00 PM,,TRUE,TRUE,TRUE,,,302,35,18100,3059288,3021150006,BK68
61070924,D'Antonia (Formerly Karipa Unisex/George's),Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,1195 Walton Avenue,,Bronx,10452,40.83411435,-73.92003839,NA,Find free safer sex products inside a dispenser located in the front near the entrance at this beauty salon.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,FALSE,,,204,16,19700,2002959,2024790024,BX63
61071092,Latino Commission on AIDS,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"24 West 25 Street,9th Floor",,Manhattan,10010,40.74337558,-73.99000358,(212) 675-3288,Find free safer sex products inside a dispenser/fishbowl located in the old testing room at this social service.,1.90E+13,1.90E+13,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,,,TRUE,TRUE,TRUE,,,105,3,5800,1080686,1008260057,MN13
61070878,Center for Child Health and Resiliency-Montefiore,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,890 Prospect Avenue,,Bronx,10459,40.82081235,-73.90113659,718-991-0605,Find free safer sex products at this location.,1.90E+13,1.90E+13,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,9:00 AM - 12:00 PM,,,TRUE,TRUE,TRUE,,,202,17,12901,2113129,2026907502,BX33
61071128,Mishkins Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1714 Amsterdam Avenue,,Manhattan,10031,40.825026,-73.94776308,(212) 926-2801,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,109,7,22900,1061914,1020760036,MN04
61070952,DROM (Formerly  Big Lug),Free Safer Sex Products,Condoms and Lubricant,,Business,Night Club,85 Avenue A,,Manhattan,10009,40.72516615,-73.98419051,NA,Find free safer sex products inside a fishbowl located in the front near the entrance at this night club.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,103,2,3200,1005764,1004327501,MN22
61070894,COBROKE  REALTY LLC,Free Safer Sex Products,Condoms and Lubricant,,Business,Other,"705 EAST 214 STREET,n/a",,Bronx,10467,40.87969629,-73.86455715,7187088545,Find free safer sex products inside a bowl located in front of store at this location.,1.90E+13,1.90E+13,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,10:00 AM - 8:00 PM,,TRUE,TRUE,TRUE,,,212,12,38000,2057854,2046620030,BX44
61071169,NYC Chelsea Sexual Health Clinic,Free Safer Sex Products,Condoms and Lubricant,,Sexual Health Clinics (NYC DOHMH),Clinical Facility,303 9 Avenue,,Manhattan,10001,40.74934861,-73.99925652,NA,Find free safer sex products inside a fishbowl located in the waiting areas of both the clinic and quickie lab at this NYC Sexual Health Clinic (DOHMH),1.90E+13,1.90E+13,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 12:00 PM,,TRUE,FALSE,FALSE,,http://www1.nyc.gov/site/doh/services/sexual-health-clinics.page,104,3,9700,1012830,1007240082,MN13
61071245,Satsung Barbershop,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1408 Nostrand Avenue,,Brooklyn,11226,40.65214249,-73.94972612,(111) 111-1111,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,317,40,82000,3116826,3050880044,BK60
61071211,Pink Pussycat Boutique,Free Safer Sex Products,Condoms and Lubricant,,Business,Sex Store,167 West 4 Street,,Manhattan,10014,40.73209228,-74.00144689,NA,Find free safer sex products inside a fishbowl located in the front at this sex store.,1.90E+13,1.90E+13,,,,,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,,TRUE,TRUE,TRUE,,,102,3,7100,1010226,1005920029,MN23
61070969,Ericks Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,609 West 207 Street,,Manhattan,10034,40.86747456,-73.92106472,(917) 314-8314,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,112,10,29300,1064923,1022360001,MN01
61070787,AllCity Medical P.C.,Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"2814 Clarendon Road,1st Floor",,Brooklyn,11226,40.64312619,-73.950432,(718) 469-7363,Find free safer sex products inside a bowl located at the reception desk at this physician.,1.90E+13,1.90E+13,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 3:00 PM,,TRUE,TRUE,TRUE,,,317,45,82800,3392951,3051940006,BK95
61071132,Mona's,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,224 Avenue B,,Manhattan,10009,40.72906276,-73.97830487,347-862-6054,Find free safer sex products inside a fishbowl located on display on shelves at this bar/lounge.,1.90E+13,1.90E+13,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,TRUE,FALSE,TRUE,,,103,2,3400,1005248,1004070032,MN22
61070799,Audubon Barber shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,61 Audubon Avenue,,Manhattan,10032,40.84067176,-73.9382131,NA,Find free safer sex products inside a dispenser located in the back at this barbershop.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,FALSE,,,112,10,25100,1062997,1021250028,MN36
61070908,Contesta Rock Hair,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,535 Hudson Street,,Manhattan,10014,40.73453771,-74.00617386,646-528-8635,Find free safer sex products inside a fishbowl located at the front desk at this barbershop.,1.90E+13,1.90E+13,,11:00 AM - 8:00 PM,11:00 AM - 9:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,11:00 AM - 8:00 PM,TRUE,TRUE,TRUE,,,102,3,7500,1011850,1006320055,MN23
61070835,Bodacious Beauty & Barber,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,9410 Church Avenue,,Brooklyn,11212,40.65476385,-73.91687724,(929) 399-4474,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,317,42,88800,3103530,3047150038,BK96
61070912,Cowgirl,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,519 Hudson Street,,Manhattan,10014,40.73384053,-74.00628565,NA,Find free safer sex products inside a fishbowl located in the back near the restroom at this bar/lounge.,1.90E+13,1.90E+13,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,,,10:00 AM - 11:00 PM,TRUE,FALSE,FALSE,,,102,3,7500,1078241,1006310046,MN23
61071097,Level One Salon,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,2839 Church Avenue,,Brooklyn,11226,40.65075676,-73.95060289,(718) 856-7575,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,317,40,82000,3116986,3050910056,BK60
61071177,NYC Health's Corrections Office,Free Safer Sex Products,Condoms and Lubricant,,Government,Government Agency,125 Worth Street,,Manhattan,10013,40.71542054,-74.00267301,NA,Find free safer sex products inside a dispenser/fishbowl located in the front at this government agency.,1.90E+13,1.90E+13,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,TRUE,TRUE,TRUE,,,101,1,3100,1001831,1001680032,MN24
61071001,Gotham Medical Group @ Chelsea Village Medical Building,Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"314 West 14 Street,5th floor",,Manhattan,10014,40.74013988,-74.00347873,(212) 620-0144,Find free safer sex products inside a bowl located in the office and waiting room at this medical group at this physician.,1.90E+13,1.90E+13,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 5:00 PM,,,TRUE,FALSE,FALSE,,http://gothammed.com,102,3,7700,1011706,1006290028,MN23
61071079,Kulley'S International Hair Salon,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,997 Rutland Road,,Brooklyn,11212,40.66258483,-73.92652732,(347) 299-6435,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,317,41,88200,3099438,3045960049,BK96
61071143,Mr. Pancho'S Cafe,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,86-09 Roosevelt Avenue,,Queens,11372,40.74804525,-73.88002004,(929) 355-4597,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,403,21,27900,4036259,4014740037,QN28
61071187,Office of the Public Advocate,Free Safer Sex Products,Condoms and Lubricant,,Government,Elected Official,"1 Centre Street,15th floor North",,Manhattan,10007,40.71299412,-74.0041807,9172840690,Find free safer sex products inside a bowl located at the front desk at this elected official.,1.90E+13,1.90E+13,10:00 AM - 4:00 PM,10:00 AM - 4:00 PM,10:00 AM - 4:00 PM,10:00 AM - 4:00 PM,10:00 AM - 4:00 PM,,,TRUE,TRUE,TRUE,,,101,1,2900,1001394,1001210001,MN27
61071233,Redz Exclusive Cutz,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1136 Nostrand Avenue,,Brooklyn,11225,40.65985294,-73.95054927,(718) 809-9796,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,309,40,80000,3115255,3050360039,BK60
61071061,Isham Broadway Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,4996 Broadway,,Manhattan,10034,40.86821366,-73.91824004,(212) 567-3137,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,112,10,30300,1064870,1022290005,MN01
61070884,Chelsea Garden Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,253 West 23 Street,,Manhattan,10011,40.74472091,-73.99712011,NA,Find free safer sex products inside a fishbowl located in the back seating area at this barbershop.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,TRUE,,,104,3,9100,1076138,1007730012,MN13
61071336,Vp Universal Salon,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1464 St Johns Place,,Brooklyn,11213,40.67051669,-73.93002969,(347) 750-7373,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,308,41,34900,3037111,3013850021,BK61
61070999,Gingers,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,363 5 Avenue,,Brooklyn,11215,40.67140709,-73.9844268,212-397-1700,Find free safer sex products inside a dispenser located in the back at this bar/lounge.,1.90E+13,1.90E+13,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,TRUE,TRUE,TRUE,,,306,39,13700,3021388,3009880007,BK37
61070944,Doc Holliday's,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,141 Avenue A,,Manhattan,10009,40.72710925,-73.98277573,212-675-6220,Find free safer sex products inside a dispenser located in the back on the wall by the atm at this bar/lounge.,1.90E+13,1.90E+13,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,TRUE,FALSE,TRUE,,,103,2,3200,1077639,1004360029,MN22
61070855,Broadway Lumber Supplies,Free Safer Sex Products,Condoms and Lubricant,,Business,Retail Store,"965 Broadway,N/A",,Brooklyn,11221,40.69664418,-73.93462902,(718)919-1021,Find free safer sex products inside a bowl located by all entrances at this retail store.,1.90E+13,1.90E+13,7:30 AM - 6:30 PM,7:30 AM - 6:30 PM,7:30 AM - 6:30 PM,7:30 AM - 6:30 PM,7:30 AM - 6:30 PM,9:00 AM - 6:00 PM,10:00 AM - 4:00 PM,TRUE,TRUE,TRUE,,,304,34,39300,3072650,3031930023,BK78
61071002,Gotham Vanderbilt,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"165 Vanderbilt Avenue,2nd Floor",,Staten Island,10304,40.6200465,-74.07718269,718-616-0955,Find free safer sex products at this location.,1.90E+13,1.90E+13,8:30 AM - 4:30 PM,8:30 AM - 6:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:00 PM,,TRUE,TRUE,TRUE,,,501,49,2900,,5,SI37
61070889,City College of New York Student Health Services,Free Safer Sex Products,Condoms and Lubricant,,Education,College/University,"160 Convent Avenue,Marshak J15",,Manhattan,10031,40.81918902,-73.95022087,2126508222,Find free safer sex products at this college/university.,1.90E+13,1.90E+13,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,TRUE,TRUE,TRUE,,,109,9,21703,1084081,1019570200,MN06
61071287,The Cock,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,93 2 Avenue,,Manhattan,10003,40.72705784,-73.98879377,NA,Find free safer sex products inside a fishbowl located in the front near the host stand at this bar/lounge.,1.90E+13,1.90E+13,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,6:00 PM - 4:00 AM,6:00 PM - 4:00 AM,6:00 PM - 4:00 AM,6:00 PM - 4:00 AM,6:00 PM - 4:00 AM,TRUE,FALSE,TRUE,,,103,2,3800,1006627,1004610032,MN22
61070808,Barracuda,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,275 West 22 Street,,Manhattan,10011,40.74424334,-73.99805121,NA,Find free safer sex products inside a fishbowl located in the hallway as you walk in at this bar/lounge.,1.90E+13,1.90E+13,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,TRUE,TRUE,TRUE,,,104,3,9100,1014107,1007720007,MN13
61070897,Columbia Research Unit,Free Safer Sex Products,Condoms and Lubricant,,Education,College/University,"180 Ft Washington Avenue,Suite HP-924",,Manhattan,10032,40.84139589,-73.94256748,212-342-0402,"Find free safer sex products inside a container located in the waiting area, outreach tables, and exam rooms at this college/university.",1.90E+13,1.90E+13,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,TRUE,TRUE,TRUE,,,112,10,25100,1084386,1021380040,MN36
61070876,Carlton Laundromat,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,177 East 105 Street,,Manhattan,10029,40.79118239,-73.94584318,(347) 982-1406,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,111,8,17200,1051998,1016330033,MN33
61070977,E-Z Fix Wireless,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,772 East 80 Street,,Brooklyn,11236,40.6357373,-73.91355386,(718) 513-3437,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,318,46,95000,3224225,3080000001,BK50
